food_name,energy_kcal,carb_g,protein_g,fat_g,fibre_g
Egg cutlet (Anda cutlet),575.02,5.77,2.45,60.25,0.58
Minced meat cutlet,531.86,5.61,5.1,54.47,0.4
Vegetable samosa,443.11,13.22,2.21,42.22,1.52
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.5,9.7,4.39,76.32,2.27
Masala urad dal vada,703.78,9.93,4.32,71.62,2.71
Khaman (dhokla),54.73,5.36,1.92,2.8,1.49
Instant dhokla,207.11,24.11,7.66,9.37,3.57
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,9.11,1.05,0.32,2.14
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36,2.63
Coriander chutney (Hare dhaniye ki chutney),42.86,8.16,1.38,0.37,2.47
Gooseberry chutney (Amla chutney),43.02,8.83,1.44,0.62,4.58
Walnut chutney (Akhrot ki chutney),370.43,8.91,9.44,33.46,3.04
Saunth/Sonth chutney with ginger,84.22,20.62,0.28,0.11,0.31
Gun powder chutney,312.34,47.65,21.55,2.67,13.95
Dessicated coconut chutney (Sookhe kase nariyal ki chutney),346.36,36.72,12.88,15.88,13.16
Curd mint dip,76.13,9.11,4.82,2.44,0.77
Curd vegetable dip,56.21,6.04,3.88,1.94,0.63
Mayonnaise vegetable dip,241.27,4.8,3.01,23.44,0.41
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31,2.1
Tomato sandwich (grilled),189.92,21.29,6.26,9.39,1.91
French sandwich (toasted),186.75,14.82,6.82,11.51,1.37
Peanut butter cucumber sandwich,243.33,29.76,9.04,10.56,3.35
Mint and peanut sandwich,273.59,31.83,7.18,13.88,3.67
Spicy chutney sandwich,249.58,34.03,8.74,9.58,3.73
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77,1.53
Rolled sandwich,293.07,34.69,6.45,15.29,2.07
Ribbon sandwich,239.26,24.76,6.26,13.37,2.92
Checker board sandwich,348.37,25.94,7.37,24.65,2.22
Submarine sandwich,216.92,13.6,6.09,15.32,1.24
Cheese open sandwich,274.07,28.42,9.84,14.24,1.74
Sunset and sunrise open sandwich,241.31,18.89,8.58,15.14,1.39
Danish luncheon sandwich,193.82,17.77,9.03,10.1,1.52
Chicken and corn open sandwich,188.16,19.21,8.63,8.83,1.67
Chocolate sponge cake,239.86,39.54,9.13,5.51,0.52
Chocolate swiss roll,306.08,26.97,6.01,19.76,0.29
Lemon curd filling,225.62,26.41,3.43,12.58,0
Jam filling,184.62,46.15,0,0,0
Chocolate pastry,243.37,32.24,7.05,10.12,0.32
Assorted pastry,230.74,31.99,6.78,8.91,0.43
Orange gateau,178.05,27.01,4.78,6.02,0.68
Black forest gateau,217.82,30.57,5.94,8.58,0.28
Lemon cake,373.85,43.1,5.29,20.63,0.62
Dundee cake,396.62,41.4,7.78,22.7,1.81
Victorian sandwich cake,373.09,44.74,5.18,19.83,0.59
Chocolate eggless cake,312.01,43.45,6.66,13.19,0.32
Orange eggless cake,355.62,52.65,7.16,13.82,0.56
Chocolate glace icing,436.29,62.43,3.22,20.8,0
Butter icing,500.72,71.64,0.19,25.37,0
Chocolate butter icing,469.59,61.72,3.21,24.77,0
Almond biscuit (Badam ke biscuit),407.74,52.14,6.25,19.7,1.5
Orange biscuit,354.78,62.11,3.63,11.01,0.75
Gingerman biscuit,357.43,55.24,6.26,12.73,2
Coffee drops,443.07,43.06,7.57,27.16,1.88
Christmas biscuit,406.07,60.97,5.67,15.88,2.17
Christmas wreath biscuit,386.05,58.07,5.43,15.01,2.28
Christmas bell biscuit,404.85,60.79,5.66,15.84,2.33
Christmas star biscuit,392.03,74.54,3.54,10.04,1.47
Christmas tree biscuit,385.63,58.41,5.43,15,2.65
Chocolate cream shells,427.17,59.26,5.1,19.34,0.9
Jelly biscuit,404.61,55.24,4.23,19.33,2.02
Cherry and walnut cookies,422.6,59.35,5.63,18.75,1.3
Cheese straws,382,30.61,9.83,24.28,1.29
Butterfly biscuit,341.45,25.33,9.98,22.11,1.02
Flan pastry,445.8,47.84,6.72,25.04,1.58
Fruit flan,261.35,34.71,3.3,12.48,0.71
Orange cream flan,280.28,36.16,4.73,13.59,0.63
Fruit puree tart,286.5,30.42,3.35,16.83,1.31
Apple banana pie,243.99,32.12,3.13,11.39,1.89
Lemon chiffon pie,259.31,27.63,4.88,14.52,0.66
Orange chiffon pie,207.57,23.14,3.89,11.16,0.7
Cream buns,215.74,14.16,4.45,15.81,0.31
Savoury puffs,190.79,10.8,9.51,15.24,0.33
Choux swans,216.34,14.92,4.35,15.6,0.35
Potato aigrettes,530.03,8.01,2.35,54.24,0.45
Cream horns,408.23,23.12,3.42,33.55,0.6
Savoury cheese horns,295.15,21.38,5.66,20.71,0.73
Paneer patties,338.58,22.79,7.6,23.96,1.18
Vegetable patties,261.92,20.98,4.01,17.74,2.62
Pearl millet infant food (Bajra shishu aahaar),362.44,62.1,11.98,6.62,7.84
Sajina,345.26,66.87,10.81,3.03,7.62
Cereal mix,120.81,21.84,3.32,2.02,2.03
Pulse mix,83.29,16,3.16,0.54,2.25
Shishu ahar,93.37,17.42,2.61,1.43,1.02
Cereal pulse mix with amylase rice flour,151.57,27.8,4.27,2.74,3.47
Banana groundnut paste/puree,213.19,36.15,4.27,5.45,1.7
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,65.04,10.8,8.33,4.51
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,23.19,3.26,1.06,1.44
Spinach khichri (Palak khichri/khichdi),102.18,17.35,3.43,1.91,1.56
Vegetable mix,174.21,36.02,4.7,0.94,1.93
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,8.36,2.71,0.94,1.28
Maize porridge,89.57,15.64,2.14,1.89,1.68
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,13.59,3.36,4.39,2.07
Split bengal gram burfi/fudge (Channa dal burfi),287.36,54.63,4.65,7.09,2.06
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,39.64,4.29,3.42,2.56
Pearl millet mathri (Bajra mathri),785.08,7.42,1.82,83.12,1.36
Sesame biscuit (Til ke biscuit),424.03,53.65,8.27,19.34,6.83
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,8.68,4.05,67.19,2.65
Poshtik namak paras,613.39,19.52,6.49,56.58,4.55
Soya chikki,423.7,62.89,7.18,15.51,3.55
Besan bathua chilla/cheela,373.82,40.65,11.48,18.57,7.79
Wheat flour and nuts ladoos (Atta nuts ladoos),391.9,44.31,9.46,19.19,7.3
Gram flour and semolina dhokla (Besan suji dhokla),198.91,25.92,8.52,7.1,4.59
Atta dal burfi,298.8,40.64,6.66,12.47,4.08
Soya roti,283.96,40.03,9.18,9.23,8.71
Poshtik khichdi/khichri,93.37,15.64,3.04,1.88,2
Namkeen daliya,295.11,49.32,8.29,7.99,8.57
Sprouts upma,316.25,44.96,9.5,10.44,7.16
Semolina idli (Suji/Rava idli),206.39,33.67,9.34,3.47,5.85
Poshtik chilla/cheela,159.53,27.47,4.85,3.04,4.91
Stuffed bittergourd (dry) (Bharwa karela),217.65,2.49,1.29,22.38,3
Cauliflower potato canjee,16.79,2.63,0.57,0.39,0.69
Creamed spinach,96.91,4.44,5.18,6.39,1.33
Mango milkshake with ice cream (Aam milkshake ice cream��ke��saath),68.35,9.18,1.93,2.8,0.23
Pineapple milkshake with ice cream (Ananas milkshake ice cream��ke��saath),68.49,9.33,1.93,2.75,0.42
Orange milkshake with ice cream (Narangi milkshake ice cream��ke��saath),67.82,9.15,1.95,2.75,0.16
Woodapple juice (Bel ka sharbat),34.18,6.51,0.63,0.7,1.03
Sattu drink,23.38,5.16,0.56,0.14,0.4
Apple and honey sorbet (Seb aur shehad ka sharbat),121.3,30.74,0.15,0.29,1.13
Thandai,101.18,9.13,3.59,5.89,0.8
Cucumber sharbat (Kheere ka sharbat),27.28,6.64,0.26,0.06,0.78
Apple oats chia seed smoothie,85.64,13.07,3.49,2.48,1.44
Nannari sharbat,88.79,23.62,0.01,0.01,0
Semolina milk drink (Thari kanji),44.16,6.93,0.98,1.36,0.72
Saffron milk (Kesariya doodh),102.18,12.64,3.17,4.57,0.14
Black rice kheer (Chak-hao kheer),147.94,22.93,4.37,4.91,0.76
Coconut kheer (Nariyal ki kheer),162.61,14.42,3.4,10.55,1.53
Apple sago payasam (Seb aur sabudana ki kheer),136.5,14.4,3.13,7.66,0.38
Kesari bath,244.57,31.38,2.4,12.59,1.65
Putharekulu,318.3,59.61,3.66,7.55,1.75
Mango malpua,334.64,12.84,1.65,30.67,2.08
Mango vanilla custard,147.63,18.41,3.43,7.04,0.99
Kiwi granola pudding,280.99,32.33,5.6,15.36,3.71
Oats burfi,425.19,62.47,8.89,17.27,4.96
Lotus seed halwa (Kamal gattay ka halwa),370.55,39.56,7.79,20.69,0.42
Amaranth ladoo (Rajgira ladoo),454.15,51.33,10.12,22.7,5.11
Chhena poda,344.57,33.64,13.68,17.94,1.4
Sweet couscous dessert,196.2,29.69,3.81,7.69,2.18
Sweetened yogurt (Shrikhand),107.18,16.02,5.27,2.89,0.08
Thickened sweetened milk (Rabri),102.79,10.55,3.52,5.35,0.19
Gram flour halwa (Besan halwa),276.79,25.78,5.88,17.3,1.82
Prawn sandwich,169.65,11.89,10.36,9.27,1.55
Watercress sandwich,229.42,28.03,5.17,11.47,2.26
Fish sandwich,150.2,10.09,4.72,10.37,1.23
Kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84,3.66
Finger millet biscuit (Ragi biscuit),458.56,52.69,4.03,25.79,5.97
Buttermilk biscuit,322.54,34.93,5.76,17.5,1.18
Lemon cookies,394.48,42.19,5.63,23.02,0.78
Sweet potato biscuit (Shakarkand ke biscuit),296.4,38.13,5.14,13.31,2.27
Raspberry shortbread cookies,441.12,61.25,3,21.25,0.75
Pumpkin cookies,218.4,44.69,2.51,3.93,1.06
Greenpea cookies,159.42,23.07,6.53,4.24,5.32
Sunflower cookies,520.62,40.06,9.49,36.28,3.95
Cardamom cookies (Elaichi cookies),400.49,53.99,5.1,19.12,2.79
Hazelnut cookies,493.32,39.44,6.25,34.97,2.45
Milk cookies,459.43,48.43,10.49,24.96,0.99
Cranberry cookies,272.48,36.39,3.92,12.66,1.13
Olive biscuit,438.29,55.01,3.2,23.75,0.82
Tutti fruitti biscuit,420.78,53.12,5.21,17.9,5.43
Peach blueberry preserves,177.38,45.76,0.53,0.2,1.14
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19,3.06
Starfruit preserves,128.93,33.62,0.24,0.12,0.78
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61,3.7
Lotus stem pickle (Kamal kakdi ka achar),102.69,20.07,1.44,1.6,8.58
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21,5.2
Garlic pickle (Lahasun ka achar),413.62,9.75,3.72,39.88,5.13
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59,2.24
Sweet peach pickle (Aadoo ka achaar),144.64,37.01,0.46,0.2,1.32
Pickled mustard greens,13.12,1.05,1.51,0.22,1.7
Small onion pickle,16.86,2.76,1.65,0.64,1.09
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,1.74
Pickled cabbage,13.69,2.56,0.39,0.14,0.61
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71,6.35
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46,2.21
Mango murabba candy,293.35,77.32,0.27,0.05,0.95
Afghani chicken,151.51,1.95,15.66,9.07,0.31
Fish orly,563.7,4.27,5.87,58.18,0.33
Hariyali Fish Tikka,150.24,2.21,14.01,9.41,0.99
Chicken manchurian,142.34,6.06,9.53,11.96,0.41
Handi chicken,166.02,1.49,12.32,12.46,0.67
Lemon chicken,169.79,0.55,20.2,9.66,0.16
Lemon butter fish,160.25,0.75,16.38,10.26,0.36
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22,0.01
Egg in a pepper,128.78,0.17,12.64,8.68,0.17
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,0.39
Corn omelette/omlet,166.93,1.57,11.37,12.89,0.02
Cajun chicken,184.94,1.94,12.69,13.99,0.89
Paaner do pyaza,127.7,3.41,4.22,10.87,0.84
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,0.37
Gobi 65,278.29,3.59,0.56,29.11,0.57
Paneer lababdar,105.48,3.37,3.98,8.46,1.16
Roasted cauliflower steak,78.68,2.02,2.05,6.7,3.53
Sauteed radishes with green beans,94.32,6.04,2.41,6.61,3.52
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,20.44,3.34,17.55,5.15
Schezwan chutney,205.19,10.79,3.33,17.72,5.72
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38,4.6
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12,3.41
Chicken salad,338.19,1.3,15.33,30.26,2
Macaroni salad,262.19,21.63,5.02,17.78,0.56
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,0.93
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24,0.6
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43,0.65
Green chilli raita (Hari mirch ka raita),77.13,7.66,5.58,2.92,0.26
Kale salad,177.71,5.01,4.86,15.33,1.36
Spinach and paneer souffle,186.19,9.64,7.56,13.49,1.07
Masala souffle,123.51,8.02,6.38,7.37,1.24
Chicken and cheese souffle,182.35,3.47,9.07,14.74,0.26
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48,1.65
Pav bhaji masala,230.47,29.15,9.13,10.96,24.3
Green chutney,79.42,10.01,5.42,1.6,5.84
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.1,1.82
Gram flour chilla/cheela (Besan chilla/cheela),135.93,21.03,7.8,2.85,4.25
Vegetable namkeen jave,112.23,18.98,2.93,2.51,2.86
Khakhra,178.5,27.66,4.78,5.32,5.43
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67,6.04
Methi thepla,346.16,41.34,8.98,15.95,7.56
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13,0.76
Buckwheat pancake (Khura),263.3,27.28,2.91,16.43,0.56
Quinoa khichdi/khichri,64.01,8.83,3.18,1.59,2.58
Khakhra chaat,358.66,16.64,4.52,30.65,3.04
Banana appam,469.81,20.06,1.17,42.53,0.67
Veg manchurian,585.64,6.82,0.89,61.65,1.16
Pav bhaji,96.53,11.99,2.66,4.32,1.98
Rice murukku,593.99,33.29,5.41,48.22,2.18
Bhel puri,509.89,16.47,3.52,47.91,2.24
Semolina dhokla (Suji/Rava dhokla),194.91,30.86,5.44,5.2,5.12
Spicy corn chaat,479.8,11.45,4.61,46.55,2.17
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,24,2.34,54.41,1.5
Banana chips (Kele ke chips),665.67,7.32,0.37,70.46,0.65
Wheat cake,314.63,41.13,4.79,14.95,2.76
Mango cheesecake,152.46,20.06,2.39,7.3,1.14
Carrot cake (Gajar ka cake),255.59,35.98,5.6,10.27,2.93
Semolina cake (Suji/Rava cake),374.14,31.32,6.58,25.18,5.37
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27,2.35
Honey cake,333.59,49.04,3.08,14.7,0.51
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36,2.35
Tutti frutti cake,347.72,52.94,4.49,12.68,0.85
Ham and Bean soup,96.04,4.18,10.61,4.15,0.54
Whey soup,68.91,6.26,3.45,3.34,0.84
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,0.96
Baked potato soup,147.05,5.85,5.73,11.21,0.3
Pumpkin soup,40.05,2.08,0.47,3.2,1.19
Sweet corn soup,32.25,3.56,0.99,1.63,0.31
Paneer soup,47.85,2.42,3.22,2.8,0.28
Curried Cauliflower soup,37.32,3.12,6.72,9.77,2.34
Millet soup,55.99,8.22,11.26,12.57,2.82
Lemon coriander soup,108.06,10.32,2.27,6.26,6.77
Garlic soup,194.86,6.99,2.38,17.62,1.66
Dal makhani,74.04,7.96,3.32,3.06,2.27
Dalma,118.93,15.04,4.91,4.58,2.16
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62,3.72
Horsegram dal (Kulthi dal),55.65,8.21,2.91,1.13,1.52
Panchmel dal,111.22,10.71,4.63,5.36,3.2
Dal dhokli,68.74,8.55,2.96,2.47,1.86
Gujarati handvo,207.09,31.86,8.24,4.8,4.95
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08,2.35
Papdi,708.96,12.89,1.83,72.11,0.56
Jowar dosa,294.35,40.53,8.5,10.28,5.56
Bread roll,435.46,16.12,2.85,40.25,1.45
Soya seekh kebab,115.05,10,5.4,5.88,2.24
Classic seasoned black beans,28.78,7.66,8.01,8.28,3.51
Maa chaane ki dal,344.67,43.11,19.8,9.5,13.45
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,2.84
White sauce (thin),115.17,6.58,3.31,8.41,0.07
White sauce (medium),151.27,7.98,3.36,11.76,0.14
White sauce (thick),209.69,10.24,3.43,17.19,0.24
Cheese sauce,194.76,7.08,7.68,15.12,0.12
Egg sauce,146.85,5.88,5.97,11.08,0.12
Mushroom sauce,137.56,7.31,3.39,10.51,0.47
Mustard sauce,158.58,8.29,3.98,12.17,0.13
Brown sauce,109.18,5.38,11.92,23.67,1.69
Classic italian pasta,42.12,4.4,0.57,2.45,1.36
Pasta spinach sauce,85.46,1.76,1.76,7.9,0.86
Pasta cheese sauce,149.26,9,4.33,10.84,0.14
Mayonnaise,774.86,1.65,1.86,84.52,0.11
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.06
Thousand island dressing,407.87,4.49,1.37,42.87,0.46
Curd dip,79.95,7.95,5.04,3.36,0.1
Short crust pastry,422.1,44.72,6.11,23.98,1.58
Choux pastry,222.37,16.2,5.55,14.96,0.56
Flaky pastry,443.94,33.61,4.69,31.99,1.25
Sponge cake,253.77,44.63,9.18,4.74,0.69
Glace icing,323.51,86.31,0.01,0.01,0
Royal icing,332.58,86.53,1.74,0.02,0
American frosting,257.57,67.48,1.05,0.01,0
Gum icing,223.07,53.19,5.94,0,0
Channa murmura premix,339.09,72.59,10.59,3.28,8.21
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11,11.66
Rice flakes and roasted channa,333.4,71.94,10.57,2.94,8.84
Spinach soup in milk,56.72,3.98,2.89,3.2,0.79
Vegetable soup,55.21,7.6,2.22,1.55,3.01
Mashed banana with milk,95.43,14.62,2.51,2.99,0.71
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65,1.09
Potato with curd,73.18,12.01,3.19,1.33,1.02
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79,2.37
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53,2.45
Moong dal mixture,158.84,33.93,4.62,1,1.9
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52,3.74
Stewed apple,91.93,22.49,0.17,0.37,1.48
Lemon squash (Nimbu ka squash),184.56,48.88,0.15,0.06,0
Orange squash (Santre ka squash),193.26,50.88,0.22,0.04,0.4
Lichi squash,198.33,51.96,0.3,0.08,0.41
Mango squash (Aam ka squash),194.66,50.96,0.17,0.17,0.58
Pineapple squash (Ananas ka squash),195.02,51.34,0.16,0.05,1.06
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,44.06,0.54,0.21,1.07
Apple jam (Seb ka murabba),188.79,48.56,0.14,0.32,1.29
Plum jam (Aloo bukhara jam),178.89,46.2,0.31,0.19,1
Pineapple jam,149.18,38.27,0.32,0.15,2.2
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25,6.61
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,1.97
Carrot murabba (Gajar ka murabba),175.24,45.6,0.32,0.16,1.39
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,0
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27,1.67
Mango pickle (Aam ka achaar),192.12,8.11,1.6,17.89,3.68
Mixed vegetable pickle (Sabziyoon ka achaar),211.2,7.48,1.9,19.68,2.76
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21,2.13
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29,1.37
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16,2.17
Tomato sauce,34.33,7.23,0.81,0.27,1.79
Tomato puree,20.62,3.68,0.75,0.25,1.56
Garam masala,254.21,26.2,9.89,10.97,35.56
Chat masala,222.58,23.87,8.19,9.91,18.62
Kashmiri masala,389.02,23.16,8.26,31.03,12.12
Rasam powder (Rasam masala),267.96,25.19,12.04,11.8,35.71
Sambar powder (Sambar masala),297.46,23.38,12.5,15.58,34.56
Tartare sauce,610.93,2.96,1.44,66.12,0.42
Barbeque sauce,121.93,20.46,0.96,4.51,0.69
Bread sauce,111.04,8.69,3.46,7.05,0.56
Green chilli sauce,46.06,7.36,1.25,0.27,1.77
Home made plain noodles,238.78,44.5,6.21,3.56,1.65
Dal moong,43.69,4.92,2.2,1.62,1.08
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77,6.01
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,2.12
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.3,9.74
Hot cherry sauce,252.74,67.95,0.13,0.07,0
Apple jelly (Seb ki jelly),152.13,39.37,0.1,0.21,0.86
Marmalade (Murabba),143.76,37.64,0.23,0.04,0.43
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.1,0.52
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,1.07
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,4.62
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,2.2
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,5.08
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01,1.49
Tomato ketchup,33.07,6.48,0.91,0.3,1.9
Bengal 5 Spice Blend (Panch Phoran),289.79,20,18.26,22.16,18.4
